"election","election_date","locality","precinct","Early Voting","Election Day","Mailed Absentee","Provisional","Post-Election","TotalVoteTurnout","ActiveRegisteredVoters","InactiveRegisteredVoters","TotalRegisteredVoters"
"2024 November General","11/05/2024 00:00:00","LOUDOUN COUNTY","820 - BELMONT STATION","863","1053","263","51","32","2262","2833","279","3112"
"2024 November General","11/05/2024 00:00:00","LOUDOUN COUNTY","822 - RIVERSIDE","822","875","285","24","32","2038","2439","128","2567"
"2024 November General","11/05/2024 00:00:00","LOUDOUN COUNTY","823 - HARPER PARK","946","807","245","43","19","2060","2535","183","2718"
"2024 November General","11/05/2024 00:00:00","LOUDOUN COUNTY","824 - GOOSE CREEK","404","404","102","32","21","963","1242","152","1394"
"2024 November General","11/05/2024 00:00:00","LOUDOUN COUNTY","825 - WAXPOOL","898","1074","299","51","30","2352","2889","183","3072"
"2024 November General","11/05/2024 00:00:00","LOUDOUN COUNTY","LOUDOUN COUNTY PROVISIONALS","","","","","","","","",""
"2024 November General","11/05/2024 00:00:00","LOUISA COUNTY","101 - GREEN SPRINGS #1","1155","1409","369","33","4","2970","3516","104","3620"
"2024 November General","11/05/2024 00:00:00","LOUISA COUNTY","102 - GREEN SPRINGS #2","422","624","90","19","3","1158","1490","40","1530"
"2024 November General","11/05/2024 00:00:00","LOUISA COUNTY","201 - LOUISA #1","709","677","108","32","2","1528","2035","77","2112"
"2024 November General","11/05/2024 00:00:00","LOUISA COUNTY","202 - LOUISA #2","600","658","83","31","1","1373","1803","67","1870"
"2024 November General","11/05/2024 00:00:00","LOUISA COUNTY","203 - LOUISA #3","76","142","23","2","","243","325","6","331"
"2024 November General","11/05/2024 00:00:00","LOUISA COUNTY","301 - PATRICK HENRY #1","799","863","191","53","5","1911","2504","102","2606"
"2024 November General","11/05/2024 00:00:00","LOUISA COUNTY","302 - PATRICK HENRY #2","641","582","95","22","","1340","1764","54","1818"
"2024 November General","11/05/2024 00:00:00","LOUISA COUNTY","401 - MINERAL","1892","1382","261","92","4","3631","4637","166","4803"
"2024 November General","11/05/2024 00:00:00","LOUISA COUNTY","501 - CUCKOO #1","376","394","107","29","1","907","1237","54","1291"
"2024 November General","11/05/2024 00:00:00","LOUISA COUNTY","502 - CUCKOO #2","371","516","74","30","2","993","1317","43","1360"
"2024 November General","11/05/2024 00:00:00","LOUISA COUNTY","503 - CUCKOO #3","801","803","163","25","3","1795","2094","60","2154"
"2024 November General","11/05/2024 00:00:00","LOUISA COUNTY","601 - JACKSON","1065","1735","207","63","5","3075","3967","110","4077"
"2024 November General","11/05/2024 00:00:00","LOUISA COUNTY","701 - MOUNTAIN ROAD #1","442","1019","107","21","2","1591","1950","56","2006"
"2024 November General","11/05/2024 00:00:00","LOUISA COUNTY","702 - MOUNTAIN ROAD #2","739","818","149","20","2","1728","2216","77","2293"
"2024 November General","11/05/2024 00:00:00","LOUISA COUNTY","LOUISA COUNTY PROVISIONALS","","","","","","","","",""
"2024 November General","11/05/2024 00:00:00","LUNENBURG COUNTY","101 - PLYMOUTH","302","354","31","20","1","708","990","52","1042"
"2024 November General","11/05/2024 00:00:00","LUNENBURG COUNTY","201 - BROWNS STORE","253","453","48","15","7","776","1028","41","1069"
"2024 November General","11/05/2024 00:00:00","LUNENBURG COUNTY","301 - ROSEBUD","96","253","19","2","2","372","479","10","489"
"2024 November General","11/05/2024 00:00:00","LUNENBURG COUNTY","302 - FLAT ROCK","154","306","38","9","5","512","657","21","678"
"2024 November General","11/05/2024 00:00:00","LUNENBURG COUNTY","401 - ARROWHEAD GUN CLUB","92","186","13","4","1","296","384","17","401"
"2024 November General","11/05/2024 00:00:00","LUNENBURG COUNTY","402 - PLEASANT GROVE","222","328","22","13","3","588","830","22","852"
"2024 November General","11/05/2024 00:00:00","LUNENBURG COUNTY","501 - REEDY CREEK","262","179","20","1","4","466","637","21","658"
"2024 November General","11/05/2024 00:00:00","LUNENBURG COUNTY","502 - PEOPLES COMMUNITY CENTER","252","210","41","8","1","512","676","29","705"
"2024 November General","11/05/2024 00:00:00","LUNENBURG COUNTY","601 - HOUNDS CREEK","294","442","79","8","8","831","1119","40","1159"
"2024 November General","11/05/2024 00:00:00","LUNENBURG COUNTY","701 - MEHERRIN FIRE DEPARTMENT","135","256","20","8","1","420","606","22","628"
"2024 November General","11/05/2024 00:00:00","LUNENBURG COUNTY","702 - VICTORIA PUBLIC LIBRARY","194","182","45","2","5","428","598","20","618"
"2024 November General","11/05/2024 00:00:00","LUNENBURG COUNTY","LUNENBURG COUNTY PROVISIONALS","","","","","","","","",""
"2024 November General","11/05/2024 00:00:00","LYNCHBURG CITY","101 - FIRST WARD FIRST PRECINCT","1052","1725","274","164","46","3261","4700","429","5129"
"2024 November General","11/05/2024 00:00:00","LYNCHBURG CITY","102 - FIRST WARD SECOND PRECINCT","1355","1377","378","66","33","3209","3907","206","4113"
"2024 November General","11/05/2024 00:00:00","LYNCHBURG CITY","103 - FIRST WARD THIRD PRECINCT","956","852","313","17","47","2185","2549","111","2660"
"2024 November General","11/05/2024 00:00:00","LYNCHBURG CITY","104 - FIRST WARD FOURTH PRECINCT","354","478","113","78","12","1035","1454","137","1591"
"2024 November General","11/05/2024 00:00:00","LYNCHBURG CITY","105 - FIRST WARD FIFTH PRECINCT","550","678","126","30","9","1393","1708","117","1825"
"2024 November General","11/05/2024 00:00:00","LYNCHBURG CITY","201 - SECOND WARD FIRST PRECINCT","1005","1442","310","108","55","2920","4973","449","5422"
"2024 November General","11/05/2024 00:00:00","LYNCHBURG CITY","202 - SECOND WARD SECOND PRECINCT","885","1222","216","119","57","2499","4578","462","5040"
"2024 November General","11/05/2024 00:00:00","LYNCHBURG CITY","203 - SECOND WARD THIRD PRECINCT","197","412","44","42","10","705","1278","151","1429"
"2024 November General","11/05/2024 00:00:00","LYNCHBURG CITY","204 - SECOND WARD FOURTH PRECINCT","212","438","55","38","6","749","1209","80","1289"
"2024 November General","11/05/2024 00:00:00","LYNCHBURG CITY","301 - THIRD WARD FIRST PRECINCT","333","496","61","67","9","966","1335","132","1467"
"2024 November General","11/05/2024 00:00:00","LYNCHBURG CITY","302 - THIRD WARD SECOND PRECINCT","52","1476","2","1223","13","2766","4284","2055","6339"
"2024 November General","11/05/2024 00:00:00","LYNCHBURG CITY","303 - THIRD WARD THIRD PRECINCT","401","658","111","67","15","1252","1925","190","2115"
"2024 November General","11/05/2024 00:00:00","LYNCHBURG CITY","304 - THIRD WARD FOURTH PRECINCT","439","753","95","88","17","1392","1967","172","2139"
"2024 November General","11/05/2024 00:00:00","LYNCHBURG CITY","305 - THIRD WARD FIFTH PRECINCT","993","1568","235","178","29","3003","4249","529","4778"
"2024 November General","11/05/2024 00:00:00","LYNCHBURG CITY","401 - FOURTH WARD FIRST PRECINCT","1493","1888","382","145","58","3966","5296","527","5823"
"2024 November General","11/05/2024 00:00:00","LYNCHBURG CITY","402 - FOURTH WARD SECOND PRECINCT","461","676","121","32","18","1308","1700","137","1837"
"2024 November General","11/05/2024 00:00:00","LYNCHBURG CITY","403 - FOURTH WARD THIRD PRECINCT","828","1314","191","133","36","2502","3748","390","4138"
"2024 November General","11/05/2024 00:00:00","LYNCHBURG CITY","404 - FOURTH WARD FOURTH PRECINCT","1125","1254","279","77","38","2773","3676","249","3925"
"2024 November General","11/05/2024 00:00:00","LYNCHBURG CITY","LYNCHBURG CITY PROVISIONALS","","","","","","","","",""
"2024 November General","11/05/2024 00:00:00","MADISON COUNTY","001 - OAK PARK","381","529","55","18","7","990","1280","61","1341"
"2024 November General","11/05/2024 00:00:00","MADISON COUNTY","002 - RADIANT","648","722","70","31","2","1473","1861","56","1917"
"2024 November General","11/05/2024 00:00:00","MADISON COUNTY","003 - ROCHELLE","243","431","30","4","4","712","863","23","886"
"2024 November General","11/05/2024 00:00:00","MADISON COUNTY","004 - GRAVES MILL","23","38","8","1","2","72","89","2","91"
"2024 November General","11/05/2024 00:00:00","MADISON COUNTY","005 - MADISON","800","646","84","22","10","1562","1980","67","2047"
"2024 November General","11/05/2024 00:00:00","MADISON COUNTY","006 - WOLFTOWN","331","476","35","10","1","853","1041","30","1071"
"2024 November General","11/05/2024 00:00:00","MADISON COUNTY","007 - BRIGHTWOOD","705","834","85","26","7","1657","1992","54","2046"
"2024 November General","11/05/2024 00:00:00","MADISON COUNTY","008 - CRIGLERSVILLE","340","334","35","11","8","728","880","25","905"
"2024 November General","11/05/2024 00:00:00","MADISON COUNTY","009 - ETLAN","194","228","31","6","3","462","551","11","562"
"2024 November General","11/05/2024 00:00:00","MADISON COUNTY","MADISON COUNTY PROVISIONALS","","","","","","","","",""
"2024 November General","11/05/2024 00:00:00","MANASSAS CITY","001 - DEAN","1108","1198","265","85","22","2678","3944","463","4407"
"2024 November General","11/05/2024 00:00:00","MANASSAS CITY","002 - WEEMS","1063","1360","295","94","29","2841","4155","427","4582"
"2024 November General","11/05/2024 00:00:00","MANASSAS CITY","003 - METZ","1334","1219","379","82","22","3036","4027","399","4426"
"2024 November General","11/05/2024 00:00:00","MANASSAS CITY","004 - HAYDON","1191","1105","290","76","21","2683","3642","375","4017"
"2024 November General","11/05/2024 00:00:00","MANASSAS CITY","005 - BALDWIN","1268","1007","248","86","17","2626","3680","417","4097"
"2024 November General","11/05/2024 00:00:00","MANASSAS CITY","006 - ROUND","1105","940","291","47","25","2408","3029","254","3283"
"2024 November General","11/05/2024 00:00:00","MANASSAS CITY","MANASSAS CITY PROVISIONALS","","","","","","","","",""
"2024 November General","11/05/2024 00:00:00","MANASSAS PARK CITY","001 - PRECINCT ONE","1172","713","258","95","24","2262","3282","331","3613"
"2024 November General","11/05/2024 00:00:00","MANASSAS PARK CITY","002 - PRECINCT TWO","624","861","145","104","11","1745","2911","186","3097"
"2024 November General","11/05/2024 00:00:00","MANASSAS PARK CITY","003 - PRECINCT THREE","1052","671","188","105","18","2034","2950","253","3203"
"2024 November General","11/05/2024 00:00:00","MANASSAS PARK CITY","MANASSAS PARK CITY PROVISIONALS","","","","","","","","",""
"2024 November General","11/05/2024 00:00:00","MARTINSVILLE CITY","001 - PRECINCT #1","218","273","60","4","","555","855","66","921"
"2024 November General","11/05/2024 00:00:00","MARTINSVILLE CITY","002 - PRECINCT #2","446","621","116","21","1","1205","1809","208","2017"
"2024 November General","11/05/2024 00:00:00","MARTINSVILLE CITY","003 - PRECINCT #3","250","383","59","10","","702","1248","151","1399"
"2024 November General","11/05/2024 00:00:00","MARTINSVILLE CITY","004 - PRECINCT #4","502","578","156","28","","1264","1927","204","2131"
"2024 November General","11/05/2024 00:00:00","MARTINSVILLE CITY","005 - PRECINCT #5","759","775","141","26","3","1704","2210","149","2359"
"2024 November General","11/05/2024 00:00:00","MARTINSVILLE CITY","006 - PRECINCT #6","85","163","24","10","","282","413","43","456"
"2024 November General","11/05/2024 00:00:00","MARTINSVILLE CITY","MARTINSVILLE CITY PROVISIONALS","","","","","","","","",""
"2024 November General","11/05/2024 00:00:00","MATHEWS COUNTY","001 - CHESAPEAKE","843","398","78","18","","1337","1654","65","1719"
"2024 November General","11/05/2024 00:00:00","MATHEWS COUNTY","002 - WESTVILLE","1383","589","116","14","1","2103","2567","102","2669"
"2024 November General","11/05/2024 00:00:00","MATHEWS COUNTY","003 - PIANKATANK","1586","804","123","28","2","2543","3089","99","3188"
"2024 November General","11/05/2024 00:00:00","MATHEWS COUNTY","MATHEWS COUNTY PROVISIONALS","","","","","","","","",""
"2024 November General","11/05/2024 00:00:00","MECKLENBURG COUNTY","101 - PALMER SPRINGS","192","375","55","11","2","635","868","43","911"
"2024 November General","11/05/2024 00:00:00","MECKLENBURG COUNTY","102 - ANTIOCH CHURCH","76","151","14","2","","243","298","32","330"
"2024 November General","11/05/2024 00:00:00","MECKLENBURG COUNTY","103 - CLARKSVILLE SOUTH","357","470","76","20","3","926","1274","88","1362"
"2024 November General","11/05/2024 00:00:00","MECKLENBURG COUNTY","201 - CHASE CITY","393","660","98","26","2","1179","1768","134","1902"
"2024 November General","11/05/2024 00:00:00","MECKLENBURG COUNTY","202 - BLUESTONE","128","130","9","1","1","269","385","24","409"
"2024 November General","11/05/2024 00:00:00","MECKLENBURG COUNTY","301 - BRACEY","335","752","92","15","2","1196","1515","169","1684"
"2024 November General","11/05/2024 00:00:00","MECKLENBURG COUNTY","302 - LACROSSE","167","491","42","15","1","716","1028","73","1101"
"2024 November General","11/05/2024 00:00:00","MECKLENBURG COUNTY","401 - SOUTH HILL WEST","518","853","172","38","","1581","2324","203","2527"
"2024 November General","11/05/2024 00:00:00","MECKLENBURG COUNTY","501 - SOUTH HILL EAST","569","824","140","35","1","1569","2274","198","2472"
"2024 November General","11/05/2024 00:00:00","MECKLENBURG COUNTY","601 - BASKERVILLE","194","234","27","7","1","463","615","30","645"
"2024 November General","11/05/2024 00:00:00","MECKLENBURG COUNTY","602 - UNION LEVEL","106","219","21","7","1","354","460","33","493"
"2024 November General","11/05/2024 00:00:00","MECKLENBURG COUNTY","603 - SMITH CROSSROADS","167","290","28","4","","489","629","24","653"
"2024 November General","11/05/2024 00:00:00","MECKLENBURG COUNTY","604 - LAKE GASTON","302","409","54","11","1","777","988","112","1100"
"2024 November General","11/05/2024 00:00:00","MECKLENBURG COUNTY","701 - MIDWAY","241","142","27","8","","418","534","41","575"
"2024 November General","11/05/2024 00:00:00","MECKLENBURG COUNTY","702 - WILLIAMS GROVE","311","377","52","11","","751","984","68","1052"
"2024 November General","11/05/2024 00:00:00","MECKLENBURG COUNTY","703 - CHASE CITY EAST","284","272","39","5","","600","835","44","879"
"2024 November General","11/05/2024 00:00:00","MECKLENBURG COUNTY","801 - BOYDTON","280","168","24","6","1","479","628","47","675"
"2024 November General","11/05/2024 00:00:00","MECKLENBURG COUNTY","802 - CLARKSVILLE VFW","473","444","64","11","1","993","1264","63","1327"
"2024 November General","11/05/2024 00:00:00","MECKLENBURG COUNTY","803 - CHASE CITY WEST","261","301","40","10","","612","797","41","838"
"2024 November General","11/05/2024 00:00:00","MECKLENBURG COUNTY","901 - NELSON","82","190","16","3","","291","384","12","396"
"2024 November General","11/05/2024 00:00:00","MECKLENBURG COUNTY","902 - BUFFALO JUNCTION","156","339","20","7","1","523","666","46","712"
"2024 November General","11/05/2024 00:00:00","MECKLENBURG COUNTY","903 - CLARKSVILLE NORTH","659","559","100","20","1","1339","1643","132","1775"
"2024 November General","11/05/2024 00:00:00","MECKLENBURG COUNTY","MECKLENBURG COUNTY PROVISIONALS","","","","","","","","",""
"2024 November General","11/05/2024 00:00:00","MIDDLESEX COUNTY","101 - SALUDA","254","224","31","12","1","522","641","69","710"
"2024 November General","11/05/2024 00:00:00","MIDDLESEX COUNTY","102 - URBANNA","391","372","47","18","2","830","979","42","1021"
"2024 November General","11/05/2024 00:00:00","MIDDLESEX COUNTY","201 - NEW MARKET","672","769","79","19","3","1542","1820","74","1894"
"2024 November General","11/05/2024 00:00:00","MIDDLESEX COUNTY","302 - CHURCH VIEW","453","707","77","23","","1260","1633","84","1717"
"2024 November General","11/05/2024 00:00:00","MIDDLESEX COUNTY","401- HARMONY VILLAGE","536","645","105","24","2","1312","1683","117","1800"
"2024 November General","11/05/2024 00:00:00","MIDDLESEX COUNTY","501 - WILTON","595","787","101","17","1","1501","1783","79","1862"
"2024 November General","11/05/2024 00:00:00","MIDDLESEX COUNTY","MIDDLESEX COUNTY PROVISIONALS","","","","","","","","",""
"2024 November General","11/05/2024 00:00:00","MONTGOMERY COUNTY","101 - PRECINCT A-1","895","729","255","24","11","1914","2227","126","2353"
"2024 November General","11/05/2024 00:00:00","MONTGOMERY COUNTY","102 - PRECINCT A-2","884","548","217","184","5","1838","2502","369","2871"
"2024 November General","11/05/2024 00:00:00","MONTGOMERY COUNTY","103 - PRECINCT A-3","7","60","2","128","","197","221","135","356"
"2024 November General","11/05/2024 00:00:00","MONTGOMERY COUNTY","104 - PRECINCT A-4 ","859","657","267","117","13","1913","2540","310","2850"
"2024 November General","11/05/2024 00:00:00","MONTGOMERY COUNTY","105 - PRECINCT A-5","846","474","198","22","10","1550","1848","131","1979"
"2024 November General","11/05/2024 00:00:00","MONTGOMERY COUNTY","201 - PRECINCT B-1","291","302","34","17","","644","830","41","871"
"2024 November General","11/05/2024 00:00:00","MONTGOMERY COUNTY","202 - PRECINCT B-2","1059","848","211","30","5","2153","2685","192","2877"
"2024 November General","11/05/2024 00:00:00","MONTGOMERY COUNTY","203 - PRECINCT B-3","309","493","49","21","2","874","1231","72","1303"
"2024 November General","11/05/2024 00:00:00","MONTGOMERY COUNTY","204 - PRECINCT B-4","1285","983","227","85","7","2587","3258","271","3529"
"2024 November General","11/05/2024 00:00:00","MONTGOMERY COUNTY","205 - PRECINCT B-5","868","699","121","38","3","1729","2245","166","2411"
"2024 November General","11/05/2024 00:00:00","MONTGOMERY COUNTY","301 - PRECINCT C-1","803","1433","104","52","","2392","3157","128","3285"
"2024 November General","11/05/2024 00:00:00","MONTGOMERY COUNTY","302 - PRECINCT C-2","495","477","96","10","2","1080","1339","58","1397"
"2024 November General","11/05/2024 00:00:00","MONTGOMERY COUNTY","303 - PRECINCT C-3","287","628","55","10","3","983","1274","36","1310"
"2024 November General","11/05/2024 00:00:00","MONTGOMERY COUNTY","304 - PRECINCT C-4","814","836","164","40","3","1857","2568","245","2813"
"2024 November General","11/05/2024 00:00:00","MONTGOMERY COUNTY","305 - PRECINCT C-5","684","531","108","20","6","1349","1613","140","1753"
"2024 November General","11/05/2024 00:00:00","MONTGOMERY COUNTY","401 - PRECINCT D-1","1121","1064","141","41","1","2368","3069","118","3187"
"2024 November General","11/05/2024 00:00:00","MONTGOMERY COUNTY","402 - PRECINCT D-2","1185","1326","155","20","4","2690","3141","75","3216"
"2024 November General","11/05/2024 00:00:00","MONTGOMERY COUNTY","403 - PRECINCT D-3","1217","1011","200","48","4","2480","3123","192","3315"
"2024 November General","11/05/2024 00:00:00","MONTGOMERY COUNTY","404 - PRECINCT D-4","390","650","64","24","1","1129","1353","29","1382"
"2024 November General","11/05/2024 00:00:00","MONTGOMERY COUNTY","501 - PRECINCT E-1","865","723","287","54","9","1938","2673","254","2927"
"2024 November General","11/05/2024 00:00:00","MONTGOMERY COUNTY","502 - PRECINCT E-2","522","867","93","21","1","1504","1860","64","1924"
"2024 November General","11/05/2024 00:00:00","MONTGOMERY COUNTY","503 - PRECINCT E-3","69","416","21","804","3","1313","1463","381","1844"
"2024 November General","11/05/2024 00:00:00","MONTGOMERY COUNTY","504 - PRECINCT E-4","176","159","78","47","2","462","643","76","719"
"2024 November General","11/05/2024 00:00:00","MONTGOMERY COUNTY","601 - PRECINCT F-1","907","758","277","251","8","2201","2837","257","3094"
"2024 November General","11/05/2024 00:00:00","MONTGOMERY COUNTY","602 - PRECINCT F-2","713","827","289","348","11","2188","3024","490","3514"
"2024 November General","11/05/2024 00:00:00","MONTGOMERY COUNTY","603 - PRECINCT F-3","25","183","12","520","1","741","840","363","1203"
"2024 November General","11/05/2024 00:00:00","MONTGOMERY COUNTY","701 - PRECINCT G-1","509","640","147","749","9","2054","3177","559","3736"
"2024 November General","11/05/2024 00:00:00","MONTGOMERY COUNTY","702 - PRECINCT G-2","613","565","189","400","11","1778","2461","285","2746"
"2024 November General","11/05/2024 00:00:00","MONTGOMERY COUNTY","703 - PRECINCT G-3 ","750","520","220","215","7","1712","2075","288","2363"
"2024 November General","11/05/2024 00:00:00","MONTGOMERY COUNTY","MONTGOMERY COUNTY PROVISIONALS","","","","","","","","",""
"2024 November General","11/05/2024 00:00:00","NELSON COUNTY","101 - ROCKFISH","477","1153","148","27","6","1811","2195","76","2271"
"2024 November General","11/05/2024 00:00:00","NELSON COUNTY","201 - LOVINGSTON","528","464","57","22","4","1075","1391","45","1436"
"2024 November General","11/05/2024 00:00:00","NELSON COUNTY","202 - SCHUYLER","233","431","54","17","","735","910","26","936"
"2024 November General","11/05/2024 00:00:00","NELSON COUNTY","301 - SHIPMAN","654","663","104","23","1","1445","1891","41","1932"
"2024 November General","11/05/2024 00:00:00","NELSON COUNTY","302 - GLADSTONE","45","188","13","10","1","257","313","11","324"
"2024 November General","11/05/2024 00:00:00","NELSON COUNTY","401 - ROSELAND","578","835","104","26","6","1549","1936","64","2000"
"2024 November General","11/05/2024 00:00:00","NELSON COUNTY","402 - MONTEBELLO","21","109","6","3","","139","173","10","183"
"2024 November General","11/05/2024 00:00:00","NELSON COUNTY","501 - FABER","294","351","30","5","3","683","820","27","847"
"2024 November General","11/05/2024 00:00:00","NELSON COUNTY","502 - NELLYSFORD","790","780","216","17","10","1813","2098","116","2214"
"2024 November General","11/05/2024 00:00:00","NELSON COUNTY","NELSON COUNTY PROVISIONALS","","","","","","","","",""
"2024 November General","11/05/2024 00:00:00","NEW KENT COUNTY","102 - TUNSTALL","472","729","48","12","1","1262","1483","54","1537"
"2024 November General","11/05/2024 00:00:00","NEW KENT COUNTY","103 - SOUTHERN BRANCH","718","933","79","28","","1758","2050","61","2111"
"2024 November General","11/05/2024 00:00:00","NEW KENT COUNTY","201 - QUINTON","695","1159","167","29","3","2053","2426","89","2515"
"2024 November General","11/05/2024 00:00:00","NEW KENT COUNTY","202 - KENTWOOD","355","744","42","20","","1161","1357","27","1384"
"2024 November General","11/05/2024 00:00:00","NEW KENT COUNTY","301 - WATKINS","1217","1202","191","39","1","2650","3150","57","3207"
"2024 November General","11/05/2024 00:00:00","NEW KENT COUNTY","302 - CUMBERLAND","605","716","84","21","","1426","1694","42","1736"
"2024 November General","11/05/2024 00:00:00","NEW KENT COUNTY","401 - PROVIDENCE FORGE","1290","1061","251","50","5","2657","3166","109","3275"
"2024 November General","11/05/2024 00:00:00","NEW KENT COUNTY","403 - MOUNTCASTLE","248","555","60","19","2","884","1138","28","1166"
"2024 November General","11/05/2024 00:00:00","NEW KENT COUNTY","501 - ELTHAM","460","685","123","15","1","1284","1600","73","1673"
"2024 November General","11/05/2024 00:00:00","NEW KENT COUNTY","502 - CHICKAHOMINY RIVER","618","992","100","17","","1727","2120","58","2178"
"2024 November General","11/05/2024 00:00:00","NEW KENT COUNTY","NEW KENT COUNTY PROVISIONALS","","","","","","","","",""
"2024 November General","11/05/2024 00:00:00","NEWPORT NEWS CITY","101 - DENBIGH","939","1367","285","107","17","2715","4285","465","4750"
"2024 November General","11/05/2024 00:00:00","NEWPORT NEWS CITY","102 - STONEY RUN","858","1472","266","128","14","2738","4622","643","5265"
"2024 November General","11/05/2024 00:00:00","NEWPORT NEWS CITY","104 - MCINTOSH","554","1022","157","93","12","1838","2931","300","3231"
"2024 November General","11/05/2024 00:00:00","NEWPORT NEWS CITY","106 - RESERVOIR","661","832","151","161","20","1825","3143","746","3889"
"2024 November General","11/05/2024 00:00:00","NEWPORT NEWS CITY","107 - RICHNECK","1205","1554","372","138","28","3297","4558","367","4925"
"2024 November General","11/05/2024 00:00:00","NEWPORT NEWS CITY","108 - KATHERINE JOHNSON","308","438","84","28","4","862","1311","146","1457"
"2024 November General","11/05/2024 00:00:00","NEWPORT NEWS CITY","109 - WINDSOR","440","821","154","58","8","1481","2205","258","2463"
"2024 November General","11/05/2024 00:00:00","NEWPORT NEWS CITY","110 - GREENWOOD","799","1435","264","137","21","2656","4078","470","4548"
"2024 November General","11/05/2024 00:00:00","NEWPORT NEWS CITY","111 - STONEYBROOK","1051","1254","346","183","13","2847","4392","644","5036"
"2024 November General","11/05/2024 00:00:00","NEWPORT NEWS CITY","112 - KNOLLWOOD MEADOWS","1121","1618","309","53","19","3120","4147","331","4478"
"2024 November General","11/05/2024 00:00:00","NEWPORT NEWS CITY","113 - SANFORD","330","630","95","28","2","1085","1359","74","1433"
"2024 November General","11/05/2024 00:00:00","NEWPORT NEWS CITY","201 - BLAND","178","280","63","29","4","554","977","227","1204"
"2024 November General","11/05/2024 00:00:00","NEWPORT NEWS CITY","202 - BOULEVARD","599","1015","139","64","9","1826","2518","195","2713"
"2024 November General","11/05/2024 00:00:00","NEWPORT NEWS CITY","203 - CHARLES","1117","1683","334","62","17","3213","4185","286","4471"
"2024 November General","11/05/2024 00:00:00","NEWPORT NEWS CITY","204 - MARINERS' MUSEUM","450","671","150","182","9","1462","1965","277","2242"
"2024 November General","11/05/2024 00:00:00","NEWPORT NEWS CITY","205 - DEEP CREEK","954","1264","210","61","10","2499","3069","160","3229"
"2024 November General","11/05/2024 00:00:00","NEWPORT NEWS CITY","208 - HIDENWOOD","545","769","146","33","11","1504","1728","117","1845"
"2024 November General","11/05/2024 00:00:00","NEWPORT NEWS CITY","211 - PALMER","856","1221","210","170","16","2473","3836","587","4423"
"2024 November General","11/05/2024 00:00:00","NEWPORT NEWS CITY","212 - RIVERSIDE","383","704","112","20","9","1228","1466","99","1565"
"2024 November General","11/05/2024 00:00:00","NEWPORT NEWS CITY","216 - YATES","849","1063","302","54","10","2278","3047","296","3343"
"2024 November General","11/05/2024 00:00:00","NEWPORT NEWS CITY","217 - RIVERVIEW","808","1001","223","55","14","2101","2595","125","2720"
"2024 November General","11/05/2024 00:00:00","NEWPORT NEWS CITY","218 - KILN CREEK","1446","1548","475","113","24","3606","4636","503","5139"
"2024 November General","11/05/2024 00:00:00","NEWPORT NEWS CITY","219 - DEER PARK","1215","1260","300","153","38","2966","4501","779","5280"
"2024 November General","11/05/2024 00:00:00","NEWPORT NEWS CITY","220 -JENKINS","737","1428","253","106","11","2535","3979","607","4586"
"2024 November General","11/05/2024 00:00:00","NEWPORT NEWS CITY","302 - BRIARFIELD","392","793","157","76","8","1426","2857","335","3192"
"2024 November General","11/05/2024 00:00:00","NEWPORT NEWS CITY","303 - CARVER","267","560","131","49","7","1014","1778","221","1999"
"2024 November General","11/05/2024 00:00:00","NEWPORT NEWS CITY","304 - CHESTNUT","132","446","49","24","2","653","1313","127","1440"
"2024 November General","11/05/2024 00:00:00","NEWPORT NEWS CITY","305 - DOWNTOWN","174","242","27","55","4","502","982","172","1154"
"2024 November General","11/05/2024 00:00:00","NEWPORT NEWS CITY","308 - JEFFERSON","145","335","47","34","2","563","1162","131","1293"
"2024 November General","11/05/2024 00:00:00","NEWPORT NEWS CITY","309 - MAGRUDER","178","404","71","43","3","699","1236","92","1328"
"2024 November General","11/05/2024 00:00:00","NEWPORT NEWS CITY","310 - MARSHALL","221","455","101","53","5","835","1634","148","1782"
"2024 November General","11/05/2024 00:00:00","NEWPORT NEWS CITY","311 - NEWMARKET","645","1096","208","49","9","2007","3143","193","3336"
"2024 November General","11/05/2024 00:00:00","NEWPORT NEWS CITY","312 - NEWSOME PARK","119","275","40","19","4","457","915","139","1054"
"2024 November General","11/05/2024 00:00:00","NEWPORT NEWS CITY","313 - REED","398","718","149","43","3","1311","2452","247","2699"
"2024 November General","11/05/2024 00:00:00","NEWPORT NEWS CITY","314 - RIVER","315","536","126","44","9","1030","1596","177","1773"
"2024 November General","11/05/2024 00:00:00","NEWPORT NEWS CITY","315 - SEDGEFIELD","493","889","100","52","9","1543","2190","154","2344"
"2024 November General","11/05/2024 00:00:00","NEWPORT NEWS CITY","316 - SOUTH MORRISON","642","879","180","57","11","1769","2781","371","3152"
"2024 November General","11/05/2024 00:00:00","NEWPORT NEWS CITY","317 - WASHINGTON","169","429","47","29","1","675","1385","255","1640"
"2024 November General","11/05/2024 00:00:00","NEWPORT NEWS CITY","318 - WILSON","210","448","56","39","2","755","1224","133","1357"
"2024 November General","11/05/2024 00:00:00","NEWPORT NEWS CITY","319 - SAUNDERS","975","1294","308","121","16","2714","4029","415","4444"
"2024 November General","11/05/2024 00:00:00","NEWPORT NEWS CITY","320 - WATKINS","1336","1722","261","86","19","3424","4850","384","5234"
"2024 November General","11/05/2024 00:00:00","NEWPORT NEWS CITY","321 - HILTON","666","1005","210","55","14","1950","2377","160","2537"
